#6D3FA9,
#6E3FAA,
#6F3FAA,
#703FAA,
#703FAB,
#713FAB,
#723FAB,
#733FAC,
#743FAC,
#753FAC,
#753FAC,
#763FAD,
#773FAD,
#783FAD,
#793EAD,
#7A3EAE,
#7A3EAE,
#7B3EAE,
#7C3EAE,
#7D3EAF,
#7E3EAF,
#7F3EAF,
#803EAF,
#803EAF,
#813EB0,
#823EB0,
#833EB0,
#843EB0,
#853EB0,
#863EB0,
#863DB1,
#873DB1,
#883DB1,
#893DB1,
#8A3DB1,
#8B3DB1,
#8C3DB1,
#8D3DB2,
#8D3DB2,
#8E3DB2,
#8F3DB2,
#903DB2,
#913DB2,
#923DB2,
#933DB2,
#933DB2,
#943DB2,
#953DB2,
#963DB2,
#973DB2,
#983CB3,
#993CB3,
#9A3CB3,
#9B3CB3,
#9B3CB3,
#9C3CB3,
#9D3CB3,
#9E3CB3,
#9F3CB3,
#A03CB3,
#A13CB3,
#A23CB3,
#A23CB3,
#A33CB2,
#A43CB2,
#A53CB2,
#A63CB2,
#A73CB2,
#A83CB2,
#A93CB2,
#A93CB2,
#AA3CB2,
#AB3CB2,
#AC3CB2,
#AD3CB2,
#AE3CB2,
#AF3CB1,
#B03CB1,
#B03CB1,
#B13CB1,
#B23CB1,
#B33CB1,
#B43CB1,
#B53CB0,
#B63CB0,
#B63CB0,
#B73CB0,
#B83CB0,
#B93CAF,
#BA3CAF,
#BB3CAF,
#BC3CAF,
#BC3CAF,
#BD3CAE,
#BE3CAE,
#BF3CAE,
#C03CAE,
#C13CAE,
#C13CAD,
#C23CAD,
#C33CAD,
#C43CAC,
#C53CAC,
#C63CAC,
#C63CAC,
#C73CAB,
#C83CAB,
#C93CAB,
#CA3DAA,
#CA3DAA,
#CB3DAA,
#CC3DA9,
#CD3DA9,
#CE3DA9,
#CE3DA8,
#CF3DA8,
#D03DA8,
#D13DA7,
#D23DA7,
#D23DA7,
#D33DA6,
#D43EA6,
#D53EA6,
#D53EA5,
#D63EA5,
#D73EA4,
#D83EA4,
#D83EA4,
#D93EA3,
#DA3EA3,
#DB3EA2,
#DB3FA2,
#DC3FA1,
#DD3FA1,
#DE3FA1,
#DE3FA0,
#DF3FA0,
#E03F9F,
#E03F9F,
#E1409E,
#E2409E,
#E2409D,
#E3409D,
#E4409C,
#E4409C,
#E5419B,
#E6419B,
#E6419A,
#E7419A,
#E84199,
#E84199,
#E94298,
#EA4298,
#EA4297,
#EB4297,
#EC4296,
#EC4396,
#ED4395,
#ED4395,
#EE4394,
#EF4394,
#EF4493,
#F04492,
#F04492,
#F14491,
#F24491,
#F24590,
#F34590,
#F3458F,
#F4458E,
#F4468E,
#F5468D,
#F5468D,
#F6468C,
#F7478B,
#F7478B,
#F8478A,
#F8478A,
#F94889,
#F94888,
#FA4888,
#FA4887,
#FB4987,
#FB4986,
#FB4985,
#FC4A85,
#FC4A84,
#FD4A83,
#FD4B83,
#FE4B82,
#FE4B82,
#FF4B81,
#FF4C80,
#FF4C80,
#FF4C7F,
#FF4D7E,
#FF4D7E,
#FF4D7D,
#FF4E7C,
#FF4E7C,
#FF4E7B,
#FF4F7A,
#FF4F7A,
#FF5079,
#FF5078,
#FF5078,
#FF5177,
#FF5176,
#FF5176,
#FF5275,
#FF5274,
#FF5274,
#FF5373,
#FF5372,
#FF5472,
#FF5471,
#FF5470,
#FF5570,
#FF556F,
#FF566E,
#FF566E,
#FF576D,
#FF576C,
#FF576C,
#FF586B,
#FF586A,
#FF596A,
#FF5969,
#FF5A68,
#FF5A68,
#FF5A67,
#FF5B66,
#FF5B66,
#FF5C65,
#FF5C64,
#FF5D64,
#FF5D63,
#FF5E62,
#FF5E62,
#FF5F61,
#FF5F61,
#FF6060,
#FF605F,
#FF615F,
#FF615E,
#FF625D,
#FF625D,
#FF635C,
#FF635B,
#FF645B,
#FF645A,
#FF6559,
#FF6559,
#FF6658,
#FF6658,
#FF6757,
#FF6756,
#FF6856,
#FF6855,
#FF6954,
#FF6954,
#FF6A53,
#FF6A53,
#FF6B52,
#FF6C51,
#FF6C51,
#FF6D50,
#FF6D50,
#FF6E4F,
#FF6E4E,
#FF6F4E,
#FF704D,
#FF704D,
#FF714C,
#FF714B,
#FF724B,
#FF724A,
#FF734A,
#FF7449,
#FF7449,
#FF7548,
#FF7548,
#FF7647,
#FF7746,
#FF7746,
#FF7845,
#FF7845,
#FF7944,
#FF7A44,
#FF7A43,
#FF7B43,
#FF7C42,
#FF7C42,
#FF7D41,
#FF7D41,
#FF7E40,
#FF7F40,
#FF7F3F,
#FF803F,
#FF813E,
#FF813E,
#FF823E,
#FF823D,
#FF833D,
#FF843C,
#FF843C,
#FF853B,
#FF863B,
#FF863B,
#FF873A,
#FF883A,
#FF8839,
#FF8939,
#FF8A39,
#FF8A38,
#FF8B38,
#FF8C37,
#FF8C37,
#FF8D37,
#FF8E36,
#FF8E36,
#FE8F36,
#FE9035,
#FE9035,
#FD9135,
#FD9234,
#FC9234,
#FC9334,
#FC9433,
